id,dataset,question_type,question_stem,improved_question,label,gold_choice,is_correct,answer,letter_answer,llm_output,llm_extracted_output,model,error
causenet-mix-000021,causenet,causenet,"If heat-trapping gases decreases, what happens to more climate change?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000081,causenet,causenet,"If food production decreases, what happens to less global climate change?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000002,causenet,causenet,"If 1906 earthquake increases, what happens to more fire?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000024,causenet,causenet,"If earthquake increases, what happens to more tsunami?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000084,causenet,causenet,"If heat stress increases, what happens to less weakness?",,less,B,False,more,A,A,A,ministral-3:8b,
causenet-mix-000065,causenet,causenet,"If uvb radiation decreases, what happens to less wrinkles?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000077,causenet,causenet,"If water damages decreases, what happens to less circumstances?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000036,causenet,causenet,"If sulfuric acid increases, what happens to more burns?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000023,causenet,causenet,"If 7.0 magnitude earthquake decreases, what happens to more severe damage?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000080,causenet,causenet,"If storm water run-off increases, what happens to less contamination of water?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000038,causenet,causenet,"If uv-b radiation increases, what happens to more damage?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000007,causenet,causenet,"If volcano decreases, what happens to more earthquake?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000013,causenet,causenet,"If storm system decreases, what happens to more strong winds?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000027,causenet,causenet,"If concentration decreases, what happens to more insight?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000050,causenet,causenet,"If low tire pressure increases, what happens to more tire failure?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000076,causenet,causenet,"If concentration increases, what happens to less inefficiency?",,less,B,False,more,A,A,A,ministral-3:8b,
causenet-mix-000097,causenet,causenet,"If soil contamination decreases, what happens to less desertification?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000045,causenet,causenet,"If uvb radiation decreases, what happens to more skin damage?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000037,causenet,causenet,"If minimally invasive surgery decreases, what happens to more faster recovery?",,less,B,False,more,A,A,A,ministral-3:8b,
causenet-mix-000083,causenet,causenet,"If heat wave decreases, what happens to less burns?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000035,causenet,causenet,"If lactic acid decreases, what happens to more cramps?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000014,causenet,causenet,"If cloud computing increases, what happens to more benefits?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000079,causenet,causenet,"If precipitation decreases, what happens to less significant property damage?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000043,causenet,causenet,"If storm water runoff decreases, what happens to more water pollution?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000018,causenet,causenet,"If water main break increases, what happens to more flooding?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000086,causenet,causenet,"If thermal radiation increases, what happens to less permanent scarring?",,less,B,False,more,A,A,A,ministral-3:8b,
causenet-mix-000033,causenet,causenet,"If solar variation decreases, what happens to more climate change?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000074,causenet,causenet,"If fertilizer increases, what happens to less depleted oxygen?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000088,causenet,causenet,"If reduction increases, what happens to less global warming?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000066,causenet,causenet,"If accumulation of greenhouse gases increases, what happens to less ocean acidification?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000062,causenet,causenet,"If lipid oxidation increases, what happens to less mitochondrial dna mutations?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000015,causenet,causenet,"If reaction decreases, what happens to more hives?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000004,causenet,causenet,"If radiation exposure increases, what happens to more sickness?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000041,causenet,causenet,"If changes in climate decreases, what happens to more droughts?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000046,causenet,causenet,"If tropical storm alberto increases, what happens to more flooding?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000005,causenet,causenet,"If solar variation decreases, what happens to more global warming?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000001,causenet,causenet,"If greenhouse gas decreases, what happens to more global warming?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000091,causenet,causenet,"If lactic acid decreases, what happens to less limited range of motion?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000030,causenet,causenet,"If ionizing radiation increases, what happens to more damage?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000003,causenet,causenet,"If lipid oxidation decreases, what happens to more rancidity?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000044,causenet,causenet,"If radiation exposure increases, what happens to more harm?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000092,causenet,causenet,"If oxidation process increases, what happens to less age?",,less,B,False,no_effect,C,C,C,ministral-3:8b,
causenet-mix-000029,causenet,causenet,"If food production decreases, what happens to more population growth?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000032,causenet,causenet,"If scarcity of food increases, what happens to more world hunger?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000016,causenet,causenet,"If uvb radiation increases, what happens to more skin damage?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000058,causenet,causenet,"If plate movement increases, what happens to less flooding?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000067,causenet,causenet,"If reactive oxygen species decreases, what happens to less new species?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000057,causenet,causenet,"If reaction decreases, what happens to less itchiness?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000048,causenet,causenet,"If non-native species increases, what happens to more harm?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000052,causenet,causenet,"If habitat degradation increases, what happens to less habitat loss?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000100,causenet,causenet,"If acid increases, what happens to less loss?",,less,B,False,no_effect,C,C,C,ministral-3:8b,
causenet-mix-000026,causenet,causenet,"If concentration of power increases, what happens to more corruption?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000070,causenet,causenet,"If heavy precipitation increases, what happens to less loss of life?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000028,causenet,causenet,"If runoff increases, what happens to more flooding?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000055,causenet,causenet,"If excessive humidity decreases, what happens to less odors?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000078,causenet,causenet,"If direct outcome of this artificial food source increases, what happens to less destruction?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000068,causenet,causenet,"If food cravings increases, what happens to less weight?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000034,causenet,causenet,"If processed free glutamic acid increases, what happens to more adverse reactions?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000022,causenet,causenet,"If moisture loss increases, what happens to more shrinkage?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000071,causenet,causenet,"If aging population decreases, what happens to less growth?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000061,causenet,causenet,"If nitric acid decreases, what happens to less degradation?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000085,causenet,causenet,"If nicotinic acid decreases, what happens to less redness?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000090,causenet,causenet,"If internal friction increases, what happens to less gases to expand?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000017,causenet,causenet,"If water vapour decreases, what happens to more cooling?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000069,causenet,causenet,"If solar wind decreases, what happens to less situation?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000009,causenet,causenet,"If excessive pressure decreases, what happens to more damage?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000063,causenet,causenet,"If lack of food decreases, what happens to less population decline?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000095,causenet,causenet,"If buildup of greenhouse gases decreases, what happens to less mass extinctions?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000011,causenet,causenet,"If pressure decreases, what happens to more numbness?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000073,causenet,causenet,"If rapid population growth decreases, what happens to less habitat degradation?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000099,causenet,causenet,"If northridge earthquake decreases, what happens to less danger?",,more,A,False,less,B,B,B,ministral-3:8b,
causenet-mix-000008,causenet,causenet,"If salicylic acid increases, what happens to more redness?",,more,A,True,more,A,A,A,ministral-3:8b,
causenet-mix-000031,causenet,causenet,"If exposure to radiation decreases, what happens to more mutations?",,less,B,True,less,B,B,B,ministral-3:8b,
causenet-mix-000040,causenet,causenet,"If excessive erosion increases, what happens to more outright loss of soil?",,more,A,True,more,A,A,A,ministral-3:8b,
