id,question_type,label,is_correct,answer,letter_answer,llm_output,llm_extracted_output,model
28,ddxplus,no effect,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
29,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
30,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
31,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
32,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
33,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
34,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
35,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
36,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
37,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
38,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
39,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
40,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
41,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
42,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
43,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
44,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
45,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
46,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
47,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
48,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
49,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
50,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
51,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
52,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
53,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
54,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
55,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
56,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
57,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
58,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
59,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
60,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
61,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
62,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
63,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
64,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
65,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
66,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
67,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
68,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
69,ddxplus,no effect,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
70,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
71,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
72,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
73,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
74,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
75,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
76,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
77,ddxplus,no effect,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
78,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
79,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
80,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
81,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
82,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
83,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
84,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
85,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
86,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
87,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
88,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
89,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
90,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
91,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
92,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
93,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
94,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
95,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
96,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
97,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
98,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
99,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
100,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
101,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
102,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
103,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
104,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
105,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
106,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
107,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
108,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
109,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
110,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
111,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
112,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
113,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
114,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
115,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
116,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
117,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
118,ddxplus,no effect,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
119,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
120,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
121,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
122,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
123,ddxplus,less,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
124,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
125,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
126,ddxplus,no effect,False,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
127,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
128,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
129,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
130,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
131,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
132,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
133,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
134,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
135,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
136,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
137,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
138,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
139,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
140,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
141,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
142,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
143,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
144,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
145,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
146,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
147,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
148,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
149,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
150,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
151,ddxplus,more,True,more,a,ERROR: Missing openai. Install: pip install openai==0.27.7 tree-of-thoughts-llm==0.1.0 graph_of_thoughts==0.0.2 backoff,,llama3.1:8b
