id,dataset,question_type,question_stem,improved_question,label,gold_choice,is_correct,answer,letter_answer,llm_output,llm_extracted_output,model,error
causenet-mix-000086,causenet,causenet,"If we increase thermal radiation, what is the effect on permanent scarring?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000033,causenet,causenet,"If solar variation decreases, what happens to climate change?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000074,causenet,causenet,"If we increase fertilizer, what is the effect on depleted oxygen?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000088,causenet,causenet,"When reduction goes up, what happens to global warming?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000066,causenet,causenet,"When accumulation of greenhouse gases goes up, what happens to ocean acidification?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000062,causenet,causenet,Suppose lipid oxidation becomes more common. How does mitochondrial dna mutations change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000015,causenet,causenet,"If we decrease reaction, what is the effect on hives?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000004,causenet,causenet,"If radiation exposure increases, what happens to sickness?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000041,causenet,causenet,"If changes in climate decreases, what happens to droughts?",,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000046,causenet,causenet,"If we increase tropical storm alberto, what is the effect on flooding?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000005,causenet,causenet,"If we decrease solar variation, what is the effect on global warming?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000001,causenet,causenet,Suppose greenhouse gas becomes less common. How does global warming change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000091,causenet,causenet,"When lactic acid goes down, what happens to limited range of motion?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000030,causenet,causenet,Suppose ionizing radiation becomes more common. How does damage change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000003,causenet,causenet,"When lipid oxidation goes down, what happens to rancidity?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000044,causenet,causenet,"When radiation exposure goes up, what happens to harm?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000092,causenet,causenet,Suppose oxidation process becomes more common. How does age change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000029,causenet,causenet,Suppose increased food production becomes less common. How does population growth change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000032,causenet,causenet,Suppose scarcity of food becomes more common. How does world hunger change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000016,causenet,causenet,"If uvb radiation increases, what happens to skin damage?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000058,causenet,causenet,"If plate movement increases, what happens to flooding?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000067,causenet,causenet,"If we decrease reactive oxygen species, what is the effect on new species?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000057,causenet,causenet,Suppose reaction becomes less common. How does itchiness change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000048,causenet,causenet,"If non-native species increases, what happens to harm?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000052,causenet,causenet,"If we increase habitat degradation, what is the effect on habitat loss?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000100,causenet,causenet,Suppose acid becomes more common. How does loss change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000026,causenet,causenet,"If concentration of power increases, what happens to corruption?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000070,causenet,causenet,"When heavy precipitation goes up, what happens to loss of life?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000028,causenet,causenet,Suppose increased runoff becomes more common. How does flooding change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000055,causenet,causenet,"If we decrease excessive humidity, what is the effect on odors?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000078,causenet,causenet,"When direct outcome of this artificial food source goes up, what happens to destruction?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000068,causenet,causenet,Suppose food cravings becomes more common. How does weight change?,,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000034,causenet,causenet,"If we increase processed free glutamic acid, what is the effect on adverse reactions?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000022,causenet,causenet,"If moisture loss increases, what happens to shrinkage?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000071,causenet,causenet,"If we decrease aging population, what is the effect on growth?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000061,causenet,causenet,"If nitric acid decreases, what happens to degradation?",,less,B,False,more,A,A,A,qwen2.5:7b,
causenet-mix-000085,causenet,causenet,"When nicotinic acid goes down, what happens to redness?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000090,causenet,causenet,"When internal friction goes up, what happens to gases to expand?",,more,A,False,less,B,B,B,qwen2.5:7b,
causenet-mix-000017,causenet,causenet,"If we decrease water vapour, what is the effect on cooling?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000069,causenet,causenet,"If we decrease solar wind, what is the effect on situation?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000009,causenet,causenet,"If we decrease excessive pressure, what is the effect on damage?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000063,causenet,causenet,"When lack of food goes down, what happens to population decline?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000095,causenet,causenet,"If we decrease buildup of greenhouse gases, what is the effect on mass extinctions?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000011,causenet,causenet,"If pressure decreases, what happens to numbness?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000073,causenet,causenet,"If we decrease rapid population growth, what is the effect on habitat degradation?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000099,causenet,causenet,"If we decrease northridge earthquake, what is the effect on danger?",,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000008,causenet,causenet,"If salicylic acid increases, what happens to redness?",,more,A,True,more,A,A,A,qwen2.5:7b,
causenet-mix-000031,causenet,causenet,Suppose exposure to radiation becomes less common. How does mutations change?,,less,B,True,less,B,B,B,qwen2.5:7b,
causenet-mix-000040,causenet,causenet,"If we increase excessive erosion, what is the effect on outright loss of soil?",,more,A,True,more,A,A,A,qwen2.5:7b,
